央视,#genre#
吉林卫视,http://114.104.171.233:20080/hls/34/index.m3u8
吉林卫视,http://60.9.236.52:50003/hls/54/index.m3u8
吉林卫视,http://60.223.255.143:8800/hls/34/index.m3u8
四川卫视,http://60.9.236.52:50003/hls/48/index.m3u8
四川卫视,http://123.10.77.222:808/hls/44/index.m3u8
四川卫视,http://123.10.79.123:808/hls/44/index.m3u8
四川卫视,http://114.104.171.233:20080/hls/25/index.m3u8
四川卫视,http://110.241.190.7:808/hls/31/index.m3u8
四川卫视,http://60.223.255.143:8800/hls/36/index.m3u8
天津卫视,http://114.104.171.233:20080/hls/32/index.m3u8
天津卫视,http://123.10.79.100:808/hls/38/index.m3u8
天津卫视,http://123.10.79.123:808/hls/38/index.m3u8
天津卫视,http://58.17.48.228:808/hls/42/index.m3u8
天津卫视,http://123.10.77.222:808/hls/38/index.m3u8
天津卫视,http://110.241.190.7:808/hls/22/index.m3u8
天津卫视,http://60.9.236.52:50003/hls/40/index.m3u8
天津卫视,http://60.223.255.143:8800/hls/22/index.m3u8
宁夏卫视,http://58.17.48.228:808/hls/65/index.m3u8
宁夏卫视,http://60.9.236.52:50003/hls/62/index.m3u8
宁夏卫视,http://114.104.171.233:20080/hls/44/index.m3u8
宁夏卫视,http://123.10.79.123:808/hls/59/index.m3u8
宁夏卫视,http://123.10.77.222:808/hls/59/index.m3u8
宁夏卫视,http://60.223.255.143:8800/hls/107/index.m3u8
安徽卫视,http://123.10.77.222:808/hls/40/index.m3u8
安徽卫视,http://58.17.48.228:808/hls/36/index.m3u8
安徽卫视,http://123.10.79.100:808/hls/40/index.m3u8
安徽卫视,http://123.10.79.123:808/hls/40/index.m3u8
安徽卫视,http://114.104.171.233:20080/hls/14/index.m3u8
安徽卫视,http://60.9.236.52:50003/hls/46/index.m3u8
安徽卫视,http://60.223.255.143:8800/hls/32/index.m3u8
安徽卫视,http://60.223.255.143:8800/hls/103/index.m3u8
山东卫视,http://123.10.79.100:808/hls/39/index.m3u8
山东卫视,http://123.10.79.123:808/hls/39/index.m3u8
山东卫视,http://58.17.48.228:808/hls/43/index.m3u8
山东卫视,http://114.104.171.233:20080/hls/21/index.m3u8
山东卫视,http://123.10.77.222:808/hls/39/index.m3u8
山东卫视,http://42.225.145.60:8089/hls/36/index.m3u8
山东卫视,http://60.9.236.52:50003/hls/42/index.m3u8
山东卫视,http://60.223.255.143:8800/hls/28/index.m3u8
山东卫视,http://60.223.255.143:8800/hls/124/index.m3u8
山西卫视,http://114.104.171.233:20080/hls/36/index.m3u8
山西卫视,http://123.10.79.100:808/hls/56/index.m3u8
山西卫视,http://182.123.78.91:8090/hls/40/index.m3u8
山西卫视,http://58.17.48.228:808/hls/57/index.m3u8
山西卫视,http://123.10.77.222:808/hls/56/index.m3u8
山西卫视,http://60.223.255.143:8800/hls/75/index.m3u8
山西卫视,http://60.223.255.143:8800/hls/20/index.m3u8
广东卫视,http://123.10.77.222:808/hls/51/index.m3u8
广东卫视,http://123.10.79.100:808/hls/51/index.m3u8
广东卫视,http://123.10.79.123:808/hls/51/index.m3u8
广东卫视,http://182.123.78.91:8090/hls/35/index.m3u8
广东卫视,http://58.17.48.228:808/hls/45/index.m3u8
广东卫视,http://114.104.171.233:20080/hls/22/index.m3u8
广东卫视,http://110.241.190.7:808/hls/25/index.m3u8
广东卫视,http://60.9.236.52:50003/hls/43/index.m3u8
广东卫视,http://60.223.255.143:8800/hls/26/index.m3u8
广西卫视,http://58.17.48.228:808/hls/44/index.m3u8
广西卫视,http://114.104.171.233:20080/hls/24/index.m3u8
广西卫视,http://123.10.79.100:808/hls/52/index.m3u8
广西卫视,http://123.10.79.123:808/hls/52/index.m3u8
广西卫视,http://182.123.78.91:8090/hls/36/index.m3u8
广西卫视,http://123.10.77.222:808/hls/52/index.m3u8
广西卫视,http://110.241.190.7:808/hls/35/index.m3u8
广西卫视,http://60.9.236.52:50003/hls/56/index.m3u8
新疆卫视,http://60.9.236.52:50003/hls/64/index.m3u8
新疆卫视,http://123.10.77.222:808/hls/63/index.m3u8
新疆卫视,http://114.104.171.233:20080/hls/45/index.m3u8
新疆卫视,http://58.17.48.228:808/hls/61/index.m3u8
新疆卫视,http://123.10.79.123:808/hls/63/index.m3u8
新疆卫视,http://60.223.255.143:8800/hls/99/index.m3u8
旅游卫视,http://114.104.171.233:20080/hls/47/index.m3u8
旅游卫视,http://182.123.78.91:8090/hls/38/index.m3u8
江苏卫视,http://114.104.171.233:20080/hls/20/index.m3u8
江苏卫视,http://123.10.79.100:808/hls/71/index.m3u8
江苏卫视,http://123.10.79.123:808/hls/71/index.m3u8
江苏卫视,http://58.17.48.228:808/hls/34/index.m3u8
江苏卫视,http://114.104.171.233:20080/hls/16/index.m3u8
江苏卫视,http://123.10.77.222:808/hls/71/index.m3u8
江苏卫视,http://42.225.145.60:8089/hls/31/index.m3u8
江苏卫视,http://110.241.190.7:808/hls/20/index.m3u8
江苏卫视,http://60.9.236.52:50003/hls/37/index.m3u8
江苏卫视,http://60.223.255.143:8800/hls/19/index.m3u8
江苏卫视,http://60.223.255.143:8800/hls/120/index.m3u8
江西卫视,http://123.10.77.222:808/hls/42/index.m3u8
江西卫视,http://123.10.79.100:808/hls/42/index.m3u8
江西卫视,http://123.10.79.123:808/hls/42/index.m3u8
江西卫视,http://58.17.48.228:808/hls/17/index.m3u8
江西卫视,http://114.104.171.233:20080/hls/27/index.m3u8
江西卫视,http://60.9.236.52:50003/hls/52/index.m3u8
江西卫视,http://60.223.255.143:8800/hls/106/index.m3u8
河北卫视,http://182.123.78.91:8090/hls/37/index.m3u8
河北卫视,http://114.104.171.233:20080/hls/28/index.m3u8
河北卫视,http://60.9.236.52:50003/hls/22/index.m3u8
河北卫视,http://60.223.255.143:8800/hls/91/index.m3u8
河南卫视,http://114.104.171.233:20080/hls/23/index.m3u8
河南卫视,http://123.10.79.100:808/hls/17/index.m3u8
河南卫视,http://58.17.48.228:808/hls/55/index.m3u8
河南卫视,http://123.10.77.222:808/hls/17/index.m3u8
河南卫视,http://42.225.145.60:8089/hls/17/index.m3u8
河南卫视,http://110.241.190.7:808/hls/48/index.m3u8
河南卫视,http://60.9.236.52:50003/hls/50/index.m3u8
河南卫视,http://60.223.255.143:8800/hls/90/index.m3u8
浙江卫视,http://114.104.171.233:20080/hls/17/index.m3u8
浙江卫视,http://123.10.79.100:808/hls/35/index.m3u8
浙江卫视,http://123.10.79.123:808/hls/35/index.m3u8
浙江卫视,http://58.17.48.228:808/hls/32/index.m3u8
浙江卫视,http://42.225.145.60:8089/hls/32/index.m3u8
浙江卫视,http://110.241.190.7:808/hls/26/index.m3u8
浙江卫视,http://60.9.236.52:50003/hls/36/index.m3u8
浙江卫视,http://60.223.255.143:8800/hls/18/index.m3u8
浙江卫视,http://60.223.255.143:8800/hls/119/index.m3u8
深圳卫视,http://60.9.236.52:50003/hls/41/index.m3u8
深圳卫视,http://114.104.171.233:20080/hls/38/index.m3u8
深圳卫视,http://123.10.77.222:808/hls/41/index.m3u8
深圳卫视,http://123.10.79.100:808/hls/41/index.m3u8
深圳卫视,http://123.10.79.123:808/hls/41/index.m3u8
深圳卫视,http://58.17.48.228:808/hls/52/index.m3u8
深圳卫视,http://42.225.145.60:8089/hls/38/index.m3u8
深圳卫视,http://110.241.190.7:808/hls/23/index.m3u8
深圳卫视,http://60.223.255.143:8800/hls/25/index.m3u8
湖北卫视,http://114.104.171.233:20080/hls/35/index.m3u8
湖北卫视,http://123.10.79.123:808/hls/43/index.m3u8
湖北卫视,http://58.17.48.228:808/hls/53/index.m3u8
湖北卫视,http://123.10.77.222:808/hls/43/index.m3u8
湖北卫视,http://110.241.190.7:808/hls/30/index.m3u8
湖北卫视,http://60.9.236.52:50003/hls/47/index.m3u8
湖北卫视,http://60.223.255.143:8800/hls/29/index.m3u8
湖北卫视,http://60.223.255.143:8800/hls/125/index.m3u8
湖南卫视,http://60.223.255.143:8800/hls/118/index.m3u8
湖南卫视,http://123.10.79.100:808/hls/33/index.m3u8
湖南卫视,http://123.10.79.123:808/hls/33/index.m3u8
湖南卫视,http://58.17.48.228:808/hls/31/index.m3u8
湖南卫视,http://114.104.171.233:20080/hls/15/index.m3u8
湖南卫视,http://123.10.77.222:808/hls/33/index.m3u8
湖南卫视,http://110.241.190.7:808/hls/19/index.m3u8
湖南卫视,http://60.9.236.52:50003/hls/35/index.m3u8
湖南卫视,http://60.223.255.143:8800/hls/17/index.m3u8
甘肃卫视,http://60.223.255.143:8800/hls/93/index.m3u8
甘肃卫视,http://114.104.171.233:20080/hls/43/index.m3u8
甘肃卫视,http://123.10.79.100:808/hls/58/index.m3u8
甘肃卫视,http://123.10.79.123:808/hls/58/index.m3u8
甘肃卫视,http://58.17.48.228:808/hls/64/index.m3u8
甘肃卫视,http://123.10.77.222:808/hls/58/index.m3u8
福建东南卫视,http://60.223.255.143:8800/hls/95/index.m3u8
西藏卫视,http://60.9.236.52:50003/hls/63/index.m3u8
西藏卫视,http://114.104.171.233:20080/hls/39/index.m3u8
贵州卫视,http://60.9.236.52:50003/hls/51/index.m3u8
贵州卫视,http://58.17.48.228:808/hls/58/index.m3u8
贵州卫视,http://114.104.171.233:20080/hls/31/index.m3u8
贵州卫视,http://110.241.190.7:808/hls/49/index.m3u8
辽宁卫视,http://114.104.171.233:20080/hls/33/index.m3u8
辽宁卫视,http://123.10.79.100:808/hls/48/index.m3u8
辽宁卫视,http://123.10.79.123:808/hls/48/index.m3u8
辽宁卫视,http://123.10.77.222:808/hls/48/index.m3u8
辽宁卫视,http://110.241.190.7:808/hls/28/index.m3u8
辽宁卫视,http://60.9.236.52:50003/hls/45/index.m3u8
重庆卫视,http://182.123.78.91:8090/hls/34/index.m3u8
重庆卫视,http://60.9.236.52:50003/hls/49/index.m3u8
重庆卫视,http://123.10.77.222:808/hls/50/index.m3u8
重庆卫视,http://123.10.79.100:808/hls/50/index.m3u8
重庆卫视,http://123.10.79.123:808/hls/50/index.m3u8
重庆卫视,http://114.104.171.233:20080/hls/26/index.m3u8
重庆卫视,http://60.223.255.143:8800/hls/105/index.m3u8
陕西卫视,http://60.9.236.52:50003/hls/57/index.m3u8
陕西卫视,http://114.104.171.233:20080/hls/29/index.m3u8
陕西卫视,http://123.10.79.100:808/hls/57/index.m3u8
陕西卫视,http://123.10.79.123:808/hls/57/index.m3u8
陕西卫视,http://58.17.48.228:808/hls/49/index.m3u8
陕西卫视,http://123.10.77.222:808/hls/57/index.m3u8
陕西卫视,http://110.241.190.7:808/hls/37/index.m3u8
陕西卫视,http://60.223.255.143:8800/hls/94/index.m3u8
青海卫视,http://60.223.255.143:8800/hls/98/index.m3u8
青海卫视,http://60.9.236.52:50003/hls/61/index.m3u8
青海卫视,http://114.104.171.233:20080/hls/40/index.m3u8
青海卫视,http://123.10.79.100:808/hls/60/index.m3u8
青海卫视,http://123.10.79.123:808/hls/60/index.m3u8
青海卫视,http://58.17.48.228:808/hls/59/index.m3u8
黑龙江卫视,http://58.17.48.228:808/hls/54/index.m3u8
黑龙江卫视,http://60.223.255.143:8800/hls/24/index.m3u8
黑龙江卫视,http://123.10.79.100:808/hls/45/index.m3u8
黑龙江卫视,http://123.10.79.123:808/hls/45/index.m3u8
黑龙江卫视,http://114.104.171.233:20080/hls/37/index.m3u8
黑龙江卫视,http://123.10.77.222:808/hls/45/index.m3u8
黑龙江卫视,http://42.225.145.60:8089/hls/42/index.m3u8
黑龙江卫视,http://110.241.190.7:808/hls/27/index.m3u8
黑龙江卫视,http://60.9.236.52:50003/hls/44/index.m3u8

少儿,#genre#
优漫卡通,http://58.17.48.228:808/hls/40/index.m3u8
卡酷,http://60.9.236.52:50003/hls/72/index.m3u8
